state_name,year,access,mtbs_class,area_km2
Arizona,2005,roaded,3,44.026362
Arizona,2005,roaded,4,24.398253
Arizona,2005,roaded,5,2.091042
Arizona,2005,roaded,6,0.36450000000000005
Arizona,2005,roadless,0,0.0009
Arizona,2005,roadless,1,6.101838
Arizona,2005,roadless,2,6.3590219999999995
Arizona,2005,roadless,3,10.861289999999999
Arizona,2005,roadless,4,15.286428
Arizona,2005,roadless,5,0.2655
Arizona,2005,roadless,6,0.0
Arizona,2005,wilderness,0,0.0
Arizona,2005,wilderness,1,10.758609
Arizona,2005,wilderness,2,24.486318
Arizona,2005,wilderness,3,14.985260999999998
Arizona,2005,wilderness,4,5.863418999999999
Arizona,2005,wilderness,5,0.419058
Arizona,2005,wilderness,6,0.0
Arizona,2006,roaded,0,0.0
Arizona,2006,roaded,1,64.899018
Arizona,2006,roaded,2,79.45697700000001
Arizona,2006,roaded,3,57.62155499999999
Arizona,2006,roaded,4,46.038059999999994
Arizona,2006,roaded,5,0.3024
Arizona,2006,roaded,6,0.0378
Arizona,2006,roadless,0,0.0009
Arizona,2006,roadless,1,3.7221569999999997
Arizona,2006,roadless,2,10.512855
Arizona,2006,roadless,3,19.838502
Arizona,2006,roadless,4,15.508647000000002
Arizona,2006,roadless,5,0.0
Arizona,2006,roadless,6,0.0
Arizona,2006,wilderness,0,0.0
Arizona,2006,wilderness,1,6.052949999999999
Arizona,2006,wilderness,2,8.993664
Arizona,2006,wilderness,3,7.575686999999999
Arizona,2006,wilderness,4,2.685213
Arizona,2006,wilderness,5,0.0747
Arizona,2006,wilderness,6,0.0009
Arizona,2007,roaded,0,0.0
Arizona,2007,roaded,1,14.876703
Arizona,2007,roaded,2,62.64638099999999
Arizona,2007,roaded,3,14.712354
Arizona,2007,roaded,4,2.640285
Arizona,2007,roaded,5,0.2016
Arizona,2007,roaded,6,0.8909999999999999
Arizona,2007,roadless,0,0.0009
Arizona,2007,roadless,1,4.34502
Arizona,2007,roadless,2,11.908035
Arizona,2007,roadless,3,2.297961
Arizona,2007,roadless,4,0.5448149999999999
Arizona,2007,roadless,5,0.0018
Arizona,2007,roadless,6,0.0
Arizona,2007,wilderness,0,0.0
Arizona,2007,wilderness,1,0.0036
Arizona,2007,wilderness,2,0.016200000000000003
Arizona,2007,wilderness,3,0.009639
Arizona,2007,wilderness,4,0.0
Arizona,2007,wilderness,5,0.0
Arizona,2007,wilderness,6,0.0
Arizona,2008,roaded,0,0.0
Arizona,2008,roaded,1,58.636188000000004
Arizona,2008,roaded,2,60.057153
Arizona,2008,roaded,3,18.984492
Arizona,2008,roaded,4,9.408923999999999
Arizona,2008,roaded,5,0.10890000000000001
Arizona,2008,roaded,6,0.8675010000000001
Arizona,2008,roadless,0,0.0009
Arizona,2008,roadless,1,16.937757
Arizona,2008,roadless,2,16.189919999999997
Arizona,2008,roadless,3,3.964698
Arizona,2008,roadless,4,0.461277
Arizona,2008,roadless,5,0.024300000000000002
Arizona,2008,roadless,6,0.063999
Arizona,2008,wilderness,0,0.0
Arizona,2008,wilderness,1,1.403055
Arizona,2008,wilderness,2,3.2454270000000003
Arizona,2008,wilderness,3,8.739809999999999
Arizona,2008,wilderness,4,8.409699
Arizona,2008,wilderness,5,0.0
Arizona,2008,wilderness,6,0.0
Arizona,2009,roaded,0,0.0
Arizona,2009,roaded,1,97.866261
Arizona,2009,roaded,2,184.31693099999995
Arizona,2009,roaded,3,56.25759599999999
Arizona,2009,roaded,4,11.313099
Arizona,2009,roaded,5,0.987984
Arizona,2009,roaded,6,0.907164
Arizona,2009,roadless,0,0.0009
Arizona,2009,roadless,1,7.642647
Arizona,2009,roadless,2,18.700532999999997
Arizona,2009,roadless,3,6.539112
Arizona,2009,roadless,4,1.2320639999999998
Arizona,2009,roadless,5,0.080154
Arizona,2009,roadless,6,0.18601199999999998
Arizona,2009,wilderness,0,0.0
Arizona,2009,wilderness,1,3.0658049999999997
Arizona,2009,wilderness,2,10.405926
Arizona,2009,wilderness,3,1.189476
Arizona,2009,wilderness,4,1.36773
Arizona,2009,wilderness,5,0.065862
Arizona,2009,wilderness,6,0.9936
Arizona,2010,roaded,0,0.0
Arizona,2010,roaded,1,54.856287
Arizona,2010,roaded,2,89.528337
Arizona,2010,roaded,3,23.402241
